currency,time,price
BTC,1729144800,67139.9
BTC,1729148400,67271.89
BTC,1729152000,67428.21
BTC,1729155600,67174.64
BTC,1729159200,67191.57
BTC,1729162800,66852.96
BTC,1729166400,67147.59
BTC,1729170000,66999.23
BTC,1729173600,67100.44
BTC,1729177200,67573.59
BTC,1729180800,67362.59
BTC,1729184400,67273.88
BTC,1729188000,66918.06
BTC,1729191600,66822.19
BTC,1729195200,66925.61
BTC,1729198800,67061.86
BTC,1729202400,67421.93
BTC,1729206000,67408.87
BTC,1729209600,67194.73
BTC,1729213200,68065.88
BTC,1729216800,68083.84
BTC,1729220400,67529.88
BTC,1729224000,67714.44
BTC,1729227600,67986.57
BTC,1729231200,68085.02
BTC,1729234800,67953.57
BTC,1729238400,67895.61
BTC,1729242000,67780.61
BTC,1729245600,67859.88
BTC,1729249200,67677.86
BTC,1729252800,67643.44
BTC,1729256400,68186.81
BTC,1729260000,68435.1
BTC,1729263600,68746.53
BTC,1729267200,68799.07
BTC,1729270800,68724.02
BTC,1729274400,68908.15
BTC,1729278000,68609.6
BTC,1729281600,68428.41
BTC,1729285200,68414.71
BTC,1729288800,68205.37
BTC,1729292400,68425.63
BTC,1729296000,68322.44
BTC,1729299600,68327.24
BTC,1729303200,68448.56
BTC,1729306800,68444.59
BTC,1729310400,68335.85
BTC,1729314000,68385.76
BTC,1729317600,68326.66
BTC,1729321200,68342.71
BTC,1729324800,68403.74
BTC,1729328400,68344.3
BTC,1729332000,68238.35
BTC,1729335600,68084.48
BTC,1729339200,68213.77
BTC,1729342800,68111.92
BTC,1729346400,68294.89
BTC,1729350000,68223.39
BTC,1729353600,68043.07
BTC,1729357200,68121.72
BTC,1729360800,68175.25
BTC,1729364400,68178.81
BTC,1729368000,68240.44
BTC,1729371600,68213.49
BTC,1729375200,68328.45
BTC,1729378800,68370.04
BTC,1729382400,68218.61
BTC,1729386000,68146.76
BTC,1729389600,68161.92
BTC,1729393200,68179.98
BTC,1729396800,68230.89
BTC,1729400400,68210.3
BTC,1729404000,68391.14
FLUX,1729144800,0.5302
FLUX,1729148400,0.529
FLUX,1729152000,0.5308
FLUX,1729155600,0.5253
FLUX,1729159200,0.526
FLUX,1729162800,0.5194
FLUX,1729166400,0.5248
FLUX,1729170000,0.5265
FLUX,1729173600,0.5274
FLUX,1729177200,0.5318
FLUX,1729180800,0.5297
FLUX,1729184400,0.5254
FLUX,1729188000,0.5197
FLUX,1729191600,0.5228
FLUX,1729195200,0.5273
FLUX,1729198800,0.526
FLUX,1729202400,0.5315
FLUX,1729206000,0.5313
FLUX,1729209600,0.5313
FLUX,1729213200,0.5357
FLUX,1729216800,0.5385
FLUX,1729220400,0.5334
FLUX,1729224000,0.5318
FLUX,1729227600,0.533
FLUX,1729231200,0.5346
FLUX,1729234800,0.5358
FLUX,1729238400,0.5344
FLUX,1729242000,0.5308
FLUX,1729245600,0.5319
FLUX,1729249200,0.5313
FLUX,1729252800,0.5242
FLUX,1729256400,0.5297
FLUX,1729260000,0.5317
FLUX,1729263600,0.5365
FLUX,1729267200,0.5373
FLUX,1729270800,0.5374
FLUX,1729274400,0.5402
FLUX,1729278000,0.5359
FLUX,1729281600,0.5385
FLUX,1729285200,0.5327
FLUX,1729288800,0.5336
FLUX,1729292400,0.5368
FLUX,1729296000,0.5388
FLUX,1729299600,0.5383
FLUX,1729303200,0.5414
FLUX,1729306800,0.5422
FLUX,1729310400,0.5382
FLUX,1729314000,0.5392
FLUX,1729317600,0.5391
FLUX,1729321200,0.5375
FLUX,1729324800,0.5372
FLUX,1729328400,0.5372
FLUX,1729332000,0.5333
FLUX,1729335600,0.5312
FLUX,1729339200,0.5345
FLUX,1729342800,0.5334
FLUX,1729346400,0.5361
FLUX,1729350000,0.5335
FLUX,1729353600,0.5296
FLUX,1729357200,0.531
FLUX,1729360800,0.5316
FLUX,1729364400,0.5309
FLUX,1729368000,0.5338
FLUX,1729371600,0.5346
FLUX,1729375200,0.5361
FLUX,1729378800,0.5366
FLUX,1729382400,0.5344
FLUX,1729386000,0.5328
FLUX,1729389600,0.5309
FLUX,1729393200,0.5302
FLUX,1729396800,0.5325
FLUX,1729400400,0.5356
FLUX,1729404000,0.5452
MERI,1729144800,6.714e-05
MERI,1729148400,6.727e-05
MERI,1729152000,6.743e-05
MERI,1729155600,6.717e-05
MERI,1729159200,6.719e-05
MERI,1729162800,6.685e-05
MERI,1729166400,6.715e-05
MERI,1729170000,6.7e-05
MERI,1729173600,6.71e-05
MERI,1729177200,6.757e-05
MERI,1729180800,6.736e-05
MERI,1729184400,6.727e-05
MERI,1729188000,6.692e-05
MERI,1729191600,6.682e-05
MERI,1729195200,6.693e-05
MERI,1729198800,6.706e-05
MERI,1729202400,6.742e-05
MERI,1729206000,6.741e-05
MERI,1729209600,6.719e-05
MERI,1729213200,6.807e-05
MERI,1729216800,6.808e-05
MERI,1729220400,6.753e-05
MERI,1729224000,6.771e-05
MERI,1729227600,6.799e-05
MERI,1729231200,6.809e-05
MERI,1729234800,6.795e-05
MERI,1729238400,6.79e-05
MERI,1729242000,6.778e-05
MERI,1729245600,6.786e-05
MERI,1729249200,6.768e-05
MERI,1729252800,6.764e-05
MERI,1729256400,6.819e-05
MERI,1729260000,6.844e-05
MERI,1729263600,6.875e-05
MERI,1729267200,6.88e-05
MERI,1729270800,6.872e-05
MERI,1729274400,6.891e-05
MERI,1729278000,6.861e-05
MERI,1729281600,6.843e-05
MERI,1729285200,6.841e-05
MERI,1729288800,6.821e-05
MERI,1729292400,6.843e-05
MERI,1729296000,6.832e-05
MERI,1729299600,6.833e-05
MERI,1729303200,6.845e-05
MERI,1729306800,6.844e-05
MERI,1729310400,6.834e-05
MERI,1729314000,6.839e-05
MERI,1729317600,6.833e-05
MERI,1729321200,6.834e-05
MERI,1729324800,6.84e-05
MERI,1729328400,6.834e-05
MERI,1729332000,6.824e-05
